Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,sentiment,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id
3054,tropdrole,"@PierreR0ndeau @lemondefr Oui mais sans jouer sur les mots, ce serait bien que ce pass soit utilis pour dcouvrir d'autres cultures que celles des mangas, BD ou aller voir un film Marvel",Fri Jun 04 07:36:32 +0000 2021,,234,0,0,2021-06-04 07:36:32+00:00,False,PierreR0ndeau,"['@PierreR0ndeau', '@lemondefr']",Missing_Retweet_ID,PierreR0ndeau,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.4215}",0.0,0.917,0.083,0.4215,Other,0.0,0.07662082514734773,0.0,0.07382727039749279,7788,original,
3939,Jason Fleming,"I just heard the news that Chadwick Boseman, the guy who's the actor for Black Panther passed away today. I'm so sorry for his family members. RIP, you have my condolences.",Sat Aug 29 02:29:41 +0000 2020,"Illinois, USA",306,0,0,2020-08-29 02:29:41+00:00,True,self,[],Missing_Retweet_ID,,"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.188}",0.057,0.943,0.0,-0.188,Other,0.0,0.07768469154607768,0.0,0.07481493577454182,3983,original,
3686,Jana Marie Gamble,Lord what's next?!!! RIH King   Reposted from @OnKendrickLamar Black Panther star #ChadwickBoseman has passed away at 43 after a 4-year fight with colon cancer. Rest in peace   - #regrann  #BlackPanther https://t.co/Ex5gd4nlzY,Sat Aug 29 02:37:36 +0000 2020,"Saint Louis, MO",743,0,0,2020-08-29 02:37:36+00:00,False,OnKendrickLamar,['@OnKendrickLamar'],Missing_Retweet_ID,,"{'neg': 0.211, 'neu': 0.696, 'pos': 0.094, 'compound': -0.6571}",0.211,0.696,0.094,-0.6571,Other,0.0,0.20157352143244708,0.0,0.18363196569342957,3730,original,
2067,Kopy,"Between #marvel n #dccomics gotta give it up for DC knowing when to add blood or when they want to go there, do
Meanwhile, anytime someone gets shot in a marvel film, no blood Just pass out Deadpool probably the only exception within a marvel film 
Family friendly vs action gore",Sun Dec 05 22:26:48 +0000 2021,,7,0,0,2021-12-05 22:26:48+00:00,False,self,[],Missing_Retweet_ID,,"{'neg': 0.04, 'neu': 0.778, 'pos': 0.183, 'compound': 0.7845}",0.04,0.778,0.183,0.7845,Other,0.0,0.003386550556361877,0.0,0.003380829107704377,6801,original,
1508,a⁷,@arrmygirl @mygtrivias Chadwick boseman (black panther) passed away and we have to show respect to him&amp;his family so its better if we dont trend any hashtag,Sat Aug 29 08:33:26 +0000 2020,🇮🇩,124,1,19,2020-08-29 08:33:26+00:00,False,arrmygirl,"['@arrmygirl', '@mygtrivias']",Missing_Retweet_ID,arrmygirl,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.7414}",0.0,0.793,0.207,0.7414,Other,0.16129032258064516,0.08222811671087533,0.14953173397096375,0.07902198695615094,1507,original,
3900,Ryan_AmPham,#fuck2020 #chadwickboseman Man this is really happening. Another great actor passes away. https://t.co/ImhwC7PRFY,Sat Aug 29 02:31:14 +0000 2020,"Suwanee, Ga",99,0,0,2020-08-29 02:31:14+00:00,False,self,[],Missing_Retweet_ID,,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.6557}",0.0,0.733,0.267,0.6557,Other,0.0,0.025384615384615384,0.0,0.025067776729080567,3944,original,
1003,only Jesus saves.,"@kaijumik3 Finally someone said it, thank you! 
knowing marvel they arent gonna recast :/ 
Makes no dang sense, anyone who sadly passed away MUST be recasted especially if they are still relevant in the MCU and still have stories to tell. A",Sun Jul 03 07:14:40 +0000 2022,earth,205,0,1,2022-07-03 07:14:40+00:00,True,kaijumik3,['@kaijumik3'],Missing_Retweet_ID,kaijumik3,"{'neg': 0.103, 'neu': 0.74, 'pos': 0.157, 'compound': 0.3875}",0.103,0.74,0.157,0.3875,38.0,0.004878048780487805,0.20438683948155534,0.004866189651172902,0.18597059053282472,5737,original,
223,JCK ( Prey and Black panther era ),@MrNiceGuy513 Didn't you make fun of kids who passed away just because younis ratioed you Shut up,Sun Oct 02 04:24:03 +0000 2022,,332,0,0,2022-10-02 04:24:03+00:00,False,MrNiceGuy513,['@MrNiceGuy513'],Missing_Retweet_ID,MrNiceGuy513,"{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.4023}",0.144,0.856,0.0,-0.4023,Other,0.0,1.4887892376681615,0.0,0.9117963422863158,4950,original,
998,Freebandz Phil,I feel for all the parents who have to break the news to their children that the Black Panther passed away.,Sat Aug 29 13:32:00 +0000 2020,Within the 5G Network,2225,1,1,2020-08-29 13:32:00+00:00,False,self,[],Missing_Retweet_ID,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Other,0.0008988764044943821,2.229458917835671,0.0008984726570270369,1.172314605503974,997,original,
3479,V2Cinemas,"Breaking - #BlackPanther star #ChadwickBoseman (43) passed away.

( Fighted with colon cancer for the last three years) https://t.co/p9vsxqGQwA",Sat Aug 29 02:45:33 +0000 2020,"Chennai, India",58963,1,5,2020-08-29 02:45:33+00:00,False,self,[],Missing_Retweet_ID,,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.6597}",0.216,0.784,0.0,-0.6597,Other,0.00010175873005104896,16.94826099453866,0.00010175355298268312,2.8874932297139724,3523,original,
