Community,engagement_rate
45.0,0.5
12.0,0.21505574398042157
4.0,0.11978225027298475
21.0,0.11925289884398149
34.0,0.08754354875652479
13.0,0.0771532950867772
14.0,0.07591585199682914
46.0,0.06859319925357663
42.0,0.06666666666666667
8.0,0.06480279505664262
41.0,0.06349206349206349
25.0,0.05680469110189027
Other,0.03994411052005288
1.0,0.039065088614654145
3.0,0.03430193878923781
22.0,0.0332021895687127
19.0,0.0324049803778591
2.0,0.0248522652651753
7.0,0.021828214571730564
32.0,0.02055089964437452
